concessionaria,praca_de_pedagio,rodovia,uf,municipio,localizacao,velocidadeAtual,velocidadeLivre,confiabilidade,coordenadas_inicial,coordenadas_final,dataHora,isFeriado
RIOSP,Guararema Sul,BR-116,SP,Guararema,"-23.340000,-46.150000",95,95,1.0,"{'latitude': -23.412187074302047, 'longitude': -46.35636901165273}","{'latitude': -23.334176342728135, 'longitude': -46.1408629049875}",2024-10-21_09-47-46,0
RIOSP,Arujá Rodoanel,BR-116,SP,Arujá,"-23.420000,-46.370000",91,91,1.0,"{'latitude': -23.41430600050838, 'longitude': -46.36512910629742}","{'latitude': -23.416111153031963, 'longitude': -46.371633463160066}",2024-10-21_09-47-48,0
RIOSP,Guararema Norte,BR-116,SP,Santa Isabel,"-23.350000,-46.160000",95,95,1.0,"{'latitude': -23.412187074302047, 'longitude': -46.35636901165273}","{'latitude': -23.334176342728135, 'longitude': -46.1408629049875}",2024-10-21_09-47-49,0
RIOSP,Arujá Norte,BR-116,SP,Arujá,"-23.410000,-46.360000",73,73,1.0,"{'latitude': -23.414129014396043, 'longitude': -46.36028637791989}","{'latitude': -23.412187074302047, 'longitude': -46.35636901165273}",2024-10-21_09-47-50,0
RIOSP,Arujá Sul,BR-116,SP,Arujá,"-23.410000,-46.360000",73,73,1.0,"{'latitude': -23.414129014396043, 'longitude': -46.36028637791989}","{'latitude': -23.412187074302047, 'longitude': -46.35636901165273}",2024-10-21_09-47-52,0
RIOSP,Itatiaia Norte,BR-116,RJ,Itatiaia,"-22.490000,-44.570000",98,98,1.0,"{'latitude': -22.50034060770133, 'longitude': -44.66528182492249}","{'latitude': -22.45890450045254, 'longitude': -44.43133150796206}",2024-10-21_09-47-53,0
RIOSP,Itatiaia Sul,BR-116,RJ,Itatiaia,"-22.490000,-44.570000",98,98,1.0,"{'latitude': -22.50034060770133, 'longitude': -44.66528182492249}","{'latitude': -22.45890450045254, 'longitude': -44.43133150796206}",2024-10-21_09-47-55,0
RIOSP,Jacareí Norte,BR-116,SP,Jacareí,"-23.300000,-46.010000",92,92,1.0,"{'latitude': -23.3071008279452, 'longitude': -46.04116787808974}","{'latitude': -23.19521111996864, 'longitude': -45.871408187288665}",2024-10-21_09-47-56,0
RIOSP,Jacareí Sul,BR-116,SP,Jacareí,"-23.300000,-46.010000",92,92,1.0,"{'latitude': -23.3071008279452, 'longitude': -46.04116787808974}","{'latitude': -23.19521111996864, 'longitude': -45.871408187288665}",2024-10-21_09-47-57,0
RIOSP,Moreira César Norte,BR-116,SP,Pindamonhangaba,"-22.930000,-45.360000",99,99,1.0,"{'latitude': -22.996452744294345, 'longitude': -45.49257298593702}","{'latitude': -22.874347815531934, 'longitude': -45.25708576321068}",2024-10-21_09-47-59,0
